sentiment,review_cleaned
positive,usually like see movies theyre still theaters high ticket prices saw poster things stay thought that young actress looks intelligent mysterious like usual blonde teenybopper bs decided take plunge see movie opening night br br i must tell you happily surprised went film expectations really know would about raw emotion honest teenage experiences expressed katie boland left feeling rather satisfied decision alberta watson also fantastic job role tamaras diseasestricken mother must also add quite impressed comedic stylings megan park tamaras friend brenda br br the film wonderfully directed gail harvey pulled together kind kitschy s way leaves feeling warm happy even storyline tended uplifting also thought film wellshot many beautiful images s countryside remain mind weeks come br br this film whole quirky great found unpredictable although story ends somewhat openended way still left satisfied whether looking fun yet powerful comingofage story simply want reminisce life s guarantee film you even expectations still quite likely impressed give one shot
negative,good action plot somewhat interesting nevsky acts like body builder attractive fact imo ugly acting skills lack everything sascha played well joanna pacula needed lines given character needed developed way many men story zero romance much action way dumb ending violent however love scenery movie takes world bonus also liked stuff mafia it much little enough got attention actors needed handsomethe biggest problem nevsky normal sexy enough think guys sascha hot enough us ladies fans action nevsky cut it overall movie fine love hate it found another normal action flick
positive,loved movie rare get glimpse postpartum vietnam moviesans combat scenes exciting bombs gunfire it idea id affected it amazing look alien vets feel tough watch quite frankly understand fighting apocalypse type drama different happens come back try live life cant made aware large group men rattling around lost america able relate cant sleep cant love affairs cant deal normal society feel totally apart huge tragedy one addressed enough yeah weve changed attitude vietnam vets like now what seem made difference them late great film cried lot criticisms
negative,absolute garbage reason terrible deviated formula plot pathetic br br the supposed star anything solve case neither anyone else really routine police work utterly tediousbr br you sat right till end hoping twist got nothing huge sense disappointment br br there much potential relative apparent kidnap could lts personal involvement finally cloud judgement br br all obvious signs stranger it surely genius like lt c constant conversation wronged husband would gradually uncover fiendish plot involving tape recorder playing shower room masked groom surprises bride hides body plants subtle clues could good complete waste time
negative,technically abominable with audible pops scenesand awesomely amateurish flesh requires lot patience sit probably turn viewers dialogue rings amazingly true joe dallesandro exposes body almost every scene also gives utterly convincing performance curio sure polished trash made two years later definite step forward suggest watch instead
negative,dolph lundgren broods scowls way incoherent mysterythriller thats nearly cool box would believe actually quite good here story mess bmovie cliches detectives revenge tycoons hookers sm looks like made went along film picks bit second half decent lundgren flick rent red scorpion instead
positive,jim belushi terrific average joe gets minutes the twilight zone michael cane mysterious bar tender listens belushis story cure belushis middle class problems magic potion bring avalanche changes belushis lifebr br flashbacks show year old horribly ashamed causing high school baseball teams championship defeat belushi goes pitiful life seemingly happy always wondering what if seems several days belushi experiences different life one enormous success admired hated others equal measurebr br this quite its wonderful life elements similar endearing ending predictable still satisfying watch young cortney cox bit part fatal attraction like woman pleasant film
positive,first all release date feature length nature documentary film properly referred as earth secondly allow address complaints reviewers seen planet earth tv series br br i seen tv series learned here film full length version tv series judge film merits source judge results own results earth indeed excellent dismiss trivial complaint reviewers simply expanded version tv series planet earth what really matterbr br as film buff one viewed dozens nature documentaries lifetime astonished highly impressed earth debut film new disneynature division disney follows footsteps walt disneys pioneering academy award winning nature documentary films s sbr br cinematography film editing music score sound narration excellent nature documentaries also excelled categories really sets earth apart its scope literally covers entire planet covering seven continentsbr br after first viewing obvious documentary film required massive effort amount time talent create br br three production companies required make amazing documentary filmbr br earth convincingly tells stories four species great migrations spans one year seasons beginning january ending december north pole south polebr br two special new hightech cameras used film one camera degree computer controlled motorized rotating lens hd camera set amazing frames per second filming technique really added drama beauty scenes earth especially cheetah chase great white sharks leaping water catch sea lions aerial view going edge worlds highest waterfall many stunningly beautiful shots documentarybr br via cinematography music score narration drama sadness humor great beauty documentary great music score performed world renowned berliner philharmoniker excellent creative technical cinematography james earl jones narration consider earth greatest nature feature length documentary film ever madebr br five years hard work patience talent dedication really paid well here film required viewing schools throughout world predict academy award best documentary feature among awards truly amazing astonishing exhilarating magnificent documentary filmbr br very highly recommended
positive,liked lot fact see againand plan to may love it ill echo reviewers saying movie really grow watch starts kind slowly way enfolds natural mood it get itbr br i really liked summery atmosphere movie thought movie touching whole characters strong element realism movie slowly gently weaves spell get involved various interactions want know ultimately turn paths characters choose take br br i surprised less dozen comments thisthere obscure tv movies comments rich lovebr br one thing say missed ending driving crazy watch see that movie may everybody feel strongly underratedeven film buff purist friends seen almost every movie seen this even seem much message board liked lot like family dramas warm scenery atmosphere unhurried languid pace probably take look this especially note worthy takes place south carolina like me love south movies take place there gem ill add vote woefully comments recommend little known flick
positive,without doubt one tobe hoppors best epic storytellng great special effects spacegirl vamp baby
negative,lot people cinema enjoyed film made feel misanthropic smug intellectuals bantering irritating sex lives sounds ok you watch it felt bored glad know people like that premise film that societies great civilizations eventually doomed fail according female historian character bores us fact america showing signs decline admittedly goes greater detail me next part film concerned vacuous fatuous asinine behaviour friends colleagues various miseries caused libidinous behaviour vague attempt humor lot people liked movie watched it could relate it
negative,childrens moviebr br this movie like bad acid trip kids age month year old timetotime would ask why rabbit bleeding mouth why bulldozer bury rabbits and worst it stopped hour damage done intensely morbid oppressive violent fortunately hes finally forgotten whole wretched thing whomever decided movie marketed children brought charges go ahead censure me conscience clear
negative,interested animal children read many edger rice burroughs novels awful movie keep interested could stomach absurd unrealistic scenes managed sit africa part johns first days scotland lets talk unrealistic downright silly actors ape suits looked like extra large chimps rather great apes there difference move grace wild animal would for comparison see better planet apes movies trained actors move simian fashion apes eat large haunches meat common ape practice far know sucker animal stories script make care apes great white hunters expedition finds john clayton charicaturish entirely parents clayton shipwrecked ocean beach somehow long trip river get coast give break lets talk slow even folks think excellent movie admit action movie far it tries character study unfortunately downright silly part predominates read burroughs tarzan books many series packed meaningful action heroic purpose film there
positive,id waited years movie finally got released england many ways pleased finally saw it lot great things film start acting something much need horror picture people film put fine work constantly gripping interesting script nice sorta lovecraftian feel it give film real solid backbone add doses surreal nightmare imagery occasional gruesome gore films winner favorite kind gore too supernatural splattery also characters marcus angry bodybuilding transsexual daisy mentally retarded loverplaything genuinely freakish unnerving times give far out anything goes sense morbid grown craziness works well frequent freudian overtones one impressive recent horror movies far shocking anything hollywood produce gripe wanted ending darker tone still works whole id really recommend serious horror buffs
negative,take even splendid underwater photography salvage familiar script paperthin characters br br for already got enough free willy pictures flipper might serve decent rental others heavily suggested stay away although flipper harmless affair hardly showcases anything adult audience unless first time see dolphinbr br a remake s tv show film flipper may sound like good idea back then dolphin charms life boy girl help ave environment first getting rid toxic wastes thrown sparkling waters florida keys time battle shark salty sea baddie happens one responsible toxic dumping also happens hate dolphins even s especially eerily similar film like free willy recent hit flipper another harmless yet occasionally empty summer splash movie kids although animals this case main dolphin clumsy pelican realisticlooking hammerhead shark typecast villain pristine underwater cinematography steal show theres nothing much flipper steal anywaybr br the story completely predictable something nowadays even year old may find evident human cast led prelord rings elijah wood outofwork paul hogan rarely anything stand around look pretty acting skills whatever may movie rarely revealed screen unless consider acting talents cheerful bottlenose dolphin guess trying recommend flipper mindless family entertainment fair anyone age no make better renting buying something else besides film minutes tops might give enough time something elsewhere without worrying kids alone might worth rentalbr br rating
positive,about importance young friends enjoying life experience four friends ligabue shows audience life back s small italian village four carachters represent four different aspects human behavior also drug experience well represented
negative,kiyoshi kurosawa ghost movie pretty wild least one jump scare caught guard all movie incredibly stupid detective trying track suspected serial killer find may committed one crimes finds haunted gorgeous asian lady ghost idea and neither viewer murders committed becomes even confused killers easily found ghost still haunts reason plot completely stupid lady ghost funny anything especially suddenly flies across city like wonder woman ending makes little sense fact whole movie makes little sense cant recommend all take serious would think supposed black comedy outside bright future worst movie directed kiyoshi kurosawa seen yet
negative,first movie longtime friend john belushis death aykroyd shows much fatigue trying pull character would snap belushibr br instead doctor detroit gives us bookish professor aykroyd masquerading weird violent pimp ward rival known mom thats bad enough also classes teach school dinner host four ladies evening protect pimps dinner or something like that attend wonder aykroyd seems stupefied time viewer alonebr br it film aykroyd met future wife donna dixon least good came chaotic messbr br one half stars want good aykroyd see the blues brothers want bad see doctor detroit
positive,watch tons movies idea would good was looking forward reading plot even though find nirvana overrated sounded like would tons fun that jansen puts little touches like books kubrick book among others movie posters etc like see director takes time put heart film really feel this tons scenes moments love trying think films like would say thing think cameron crowe films takes little moments makes stand special soundtrack amazing song works perfectly scenes feel film film amazingly shot editing outstanding could really go film cannot recommend enough really want fun story great tunes director clearly put heart work check out
positive,steven rea plays forensic scientist thrust job sovie russia in first hours job body murdered girl brought inhe workers go back look evidence bring back five bodiesthis starts story hunt one worst serial killers modern day historyit stark depressing dark movie explores bureaucracy old soviet union indirectly contributed caused deaths many killers victimsit also explores donald sutherlands character proper usage bureaucracy communist govt help achieve ultimate goal finding monster gripping movie like good detective story hold interest definitely must see scale one ten
negative,serious mean wow just wow think saw flick old issue war journal pathetic originality completely dead instead trying formulate new idea receive bland redo old plot line switch up change gender race original character moronic everyone sick tired seeing guess rant likely fall deaf ears engrossed sound another turd hitting toilet water like best western since yuma wait it yuma thank hollywood killing film art form turning commercial barrage neopop junk blatant retardation wonderful
negative,still waiting dark muppet film know ends beginning think linklater could one hes experimented animation time intelligently expecting thing deeply wishingbr br joan cusack sucked moved madefortv level lazily acting one cliched cynic muppets lifelife was disappointmentbr br but entire film was bar pepe loved him one ever get laughwhile goldbergh god got choking cursing cant see dark muppets least pg one pepes controversial jokes animals metalhead eggnogchuggin personabr br the worst muppets saw even boring christmas carol beats one out muppets need avoid commercialized holidaybr br
negative,read gushing reviews imdb thought would give movie look disappointed plus side male leads good interesting photography whole movie fails convince seems full its self indulgent importance trying say something meaningful falls way short picture unconvincing messbr br it one films classified film noir defined followsbr br a film noir marked mood pessimism fatalism menace cynical charactersbr br well story here losers stumble upon collective problems include mental illness alcoholism laziness indebtedness etc together conspire kidnap child outwit otherbr br would much better movie story confined kidnap instead character failings kidnappers thought female lead way depth came across amateur actressbr br whilst good moments finished feeling wasted timebr br
negative,although film lot praise personally found boring nice brasilian sunsets characters believable story interrelate even unusual standards interesting enough sustain movie long central woman takes one man another close knit way putting interests children first tolerance various men stretched see characters develop story unfolds dignity aided excellent acting rare glimpse brasilian hinterland far city hardly exciting enough keep ones eyes open for
positive,they believed hidden sentiment unified them certitude beautifulbut incertitude beautiful believed never metnothing happened thembut roadsthose stairsthose corridors time could met although mean beit swan songtwo young peoplewho neighbors never metare found placesthe timesdoing times thingsthey finally meet dramatic brilliant end brings togethermeanwhile woman met old mantheir relation brotherhoodlikehe told lifeit like young ones better prospectivesthe young man whatever old man livedhe happy woman ending exceptionalthere ship wreckthe survivors heros three colorsthe man woman finally meetthe scene lasts secondsthe woman looks like photo taken ad beginning filmsad red fondbut every start continuethe book life opened middle
negative,fan sciencefiction movies aware matrix since release little bit would allow people tell it assumed highly original sophisticated also devotee alice wonderland could never quite figure missed matrix released imminent release matrix reloaded time buy dvd watch itbr br the disappointment great premise matrix the controlling device opposed movie clever philosophical premise parallel worlds alternate realities shopworn however could still bought film sciencefiction stayed firmly genre unfortunately turned standard will escape break through rescue need rescue etc make matters worse turned another martial arts exercise problem sciencefiction martial arts films really two different types purest devotee one other mixing two work like mixing sciencefiction romance one other film or least extent moviebr br if problems matrix matrix reloaded really compounded problems least thirty minutes film either martial arts sequences protracted carchase this observation ignores question made every professional negative review movie neo could superman thing bother fight all answer course thats draws young male demographic group theatre redemption love aspect plot device worn richard wagner hundred years ago actually handled better die gotterdammerungbr br so leave saw matrix reloaded martial arts fans probably groaned trite arcane scifi philosophizing science fictions fans wondering sitting kungfun fest males audience probably bored silly romance aspect filmbr br just supposed getting bucks see matrix franchise films science fiction martial arts soap opera bit make whole lot them satisfying film afficionados each
negative,scenes actually attempt depiction revolutionary struggle resemble hirsute boy scout troop meandering tentatively swimming holes sharif or please god palance try hand fiery oratory sound like kurtz swallowing bug displays strategic brilliance incorporate map cuba replete smiling fishies ocean positively vaudevillian hypothesis bay pigs came pass leave us with one comical dentistry scene surfeit uppity hollywood peasants address camera though moving train and kicks passel homoeroticism limited castros manic unremitting cigarfellatio never trust medved even busted clock right twice day historically awful movie
negative,good movie people keep saying that nice little story going sexy girls bam vampires why vampires come from also hell super human vampires george clooney three random guys dominate them quickly too like long fight scene lots struggle three dudes bar killing vampires like fat man kills twinkies next thing know clooney stupid girl rescued cheech leaves familyless homeless middle mexico end story literally oh strip club aztec temple funny would southern mexico border people lying telling people good movie rent buy even watch movie friends house wish time life back
positive,the bourne ultimatum begins recklessly midchase pulsepounding fashion explodes jason bourne matt damon absolutely superb tracks masterminds behind cia blackops turned perfect killer final attempt learn true identity devastatingly icy david strathairn man behind curtain added returning cast regulars including joan allen excellent julia stiles nonexistentbr br like second entry series wished paul greengrass shaky handheld camera would go static least minutes downtime however said perfect way capture tense claustrophobic feel intimate handtohandcombat scenes works equally well chase scenes mostly foot across rooftops occasional big car pileup part fun bourne series constant globehopping manipulation technology communications seem defy laws physics current capabilities bourne films seem exist sort gritty hyperreality full technologicalbased magic makes sense everyone seems right place right time ill damned blast watch get therebr br with absence emotive involving franka potente writers attempt create emotional connection damon stiles blankfaced actress never really leads anything still forgiven unlike identity supremacy ultimatum reveals finally learn truth bournes past entertaining satisfying conclusion series good sense damon gets wish perfect end it
negative,national lampoon funny magazine whether liked stoner hippie days late sixties smug sassy cokehead days seventies when comedy fortified plenty naked babes depends much date birth everyone agrees early eighties middle age killed whichever remaining sparks anarchic humour drugs hadnt offerings like film increasingly terrible spinoff records shot holes hull outside nicely illustrated title sequence theres absolutely nothing recommend singularly depressing stinkbug make baffling opening segment growing myself hoping things get better tough luck dont whoever thought idea woman brutally raped stick butter comedy gold deserved head handed back platter dog mess theres ever global shortage guitar picks negatives rambling incoherent ragbag crummy ideas dire performances may well serve purpose
negative,prove cops cant find real perpetrators always blame parents accuse sexual abuse kids movies always depict press bunch animals parents coming court feed press hunger humiliate griefstricken anybody ever heard courthouse back door movies here psychic tells exactly happened body found police told nobody heeds findingsbr br the police portrayed blockheads know theres always outside detective like ed asner comes late case believes parents solves mysterybr br also parents cleared spit faces dumb cops put jail took kid away accused killing childbr br it looked ive see film many times before
positive,going movie bit cautious always bit iffy claymation movies ive always enjoyed decent animated movies claymation always different me one caught surprise wallace gromit extremely lovable characters great story jokes ages theres silly burpfart jokes kids subtle head young kids jokes us older people neat claymation story holes kept interest beginning endbr br its rare find pure uncorrupted humor days movie refreshing wallace gromit go normal thing exterminating humanely buggers ruin peoples vegetable crops time find fighting form freak huge rabbit humanely built traps cant even keep tabs great laughs great hour half fun exposed wallace gromit highly recommend moviebr br the reason rate higher still family movie kids enjoyed it watching little rug rats wife itd least sure give shot
positive,dear god begin bar none best movie ive ever seen camera angles great opinion acting best script writers movie writing big budget films never understand another cast great best ted raimi film sure know probably thinking no way plenty better wrong raptor island work art hope goten best movie year instead crappy movie crash bunch names raptors believe movie truly wonderful thing ever
positive,slasher pics past sell date one good funbr br the valentine cards witty well thought outbr br the film one peach line hes angel fact angel watching buffy reruns never samebr br the cast sizzling display young talent story give enough real depth denise richards dvd extras seemed think girls set bonded well together would give feeling empathised characters sorry nobr br the direction good managing show little actual gore relying imaginations implied threat much said also similar manner miss richards heigel remove clothesbr br essentially main directorial plus lies within borrowing various ideas previous slasher flicks psychos shower scene tributed along halloweens masking br br murdering someone hiding bodybag though pretty original one far knowbr br light viewing scary good jump moments choice hole though choose hole slasher movies day another slasher good slasher nothing groundbreaking
negative,piece advice people made movie too gonna make movie like sure got fx back up also get bunch z list actors play it another thing us seen jurassic park blatantly copy it movie sucked fx sucked acting sucked story unoriginal lets talk acting second carradine guy whos career peaked revenge nerds which actually great comedy hes exactly z list act said st bag mark hamill return jedi go quietly night made mark nerd that understand bills pay hardly excuses st bag called movie yet ok wanted sure sound little hostile apologize wasted hrs life could spent something productive like watching paint peel feel cheated ill close note thank time
negative,really amazing pile pap br br a predictable slow moving soul destroying mind numbing movie which slitting wrists rusty bread knife seems well almost necessarybr br the acting done thin dialogue every scene least twice long needs be intricate details career collapsing career rising far dreary mundane words music would good sit movie really three good songs enough reward effort required watch moviebr br watching film prayed god narcolepsy someone shoot mebr br never ever ever again
negative,probably worst movie ever seen life stupid plot special affects ridiculous never seen bad acting life good part movie hot guysespecially drew fuller know people thinking made movie even want finish whole thing get point movie guys bed touching themselves mean like kind sick twisted kiddy porn would advise anyone heard movie interested seeing forget find another movie watch disappointed whole movie complete waste time opinion
positive,first saw child living east london scars hitlers luftwaffe evident landscape movie reminiscent street remember nightmares seeing it odd thing is really dated viewed piece social history cinema fiction br br apart globally destructive war scale machines badly awry nanotechnology now overall excellent wellcrafted work interesting see space travel perceived back then would think firing spacecraft gigantic gun would almost certainly kill astronauts however much right mans desire war mans inhumanity man means war catalyst development br br
negative,dilemmaabove debbie must face close sam sherman production naughty stewardesses debbie hit town become stewardess slept elderly rich manwho describes s obviously hit mark decade two ago shoots nude scenes photographer met central element kidnappingextortion plot amidst emotional upheaval soulsearching heavens name debbie do well cannot give away completely expect real epiphany here lets face it naughty stewardesses wants beat least twothirds through soft core porn film lots topless women funny kitchy s way film grand art here movie designed make money exploit growing trend time put nymphomaniacal stewardesses films audience could live vicariously voyeuristic tastes todays standards film pretty tame film wrong try kind statement film end cmon anyone believing little diatribe debbie beach contemplating life would spend time picking halter top wear day that ridiculous plot steal grand make sense earth characters dig it anyone buying cal member plosomething like that even director hardcore pornography would luck get work seven eleven is another reviewer noted sam sherman piece al adamson piece tell al complete charge virtually budget film look nearly polished this adamson decent job directing time give sherman credit degree film bad meant be certain style it liked opening credits animation photographs even liked music sparrow silver heels somewhat catchy tune movie look cheap really all compare als horror films cast yes bob livingston bit old lead examination went character obvious thread young women attracted men money explored well major problems robert smedley plain awful role girls got great sets else required huh naughty stewardesses relatively harmless exploitation film s serve living time capsule certain aspects life decade way mention pretty bad picture
positive,one thing sureyou watch film bad day story based around sad event follows character live sin cant handle story drip fed rather usual dumbed explanation keeps wondering going on eventually dots joined performances make sense characters ok wil smith another good day officebr br there doubt lot moral questions asked accept buy agony easier accept chosen do whether agree disagree irrelevant journey takes interesting enough overwhelmingbr br a good enough film unfortunately leaves little sad end would recommend film like sort think watch explosions fights
positive,new york one hot night four famous iconic figures come together professor albert einstein come ny give speech has senator joesph maccarthy back later night gets surprise visitor famous actress marilyn monroe actually wants discuss theories relativity soon ballplaying husband joe dimaggio turns hotel room begging work things crumbling relationship flashbacks childhood important events perceived consequences actions creep show individuals cope despair hidden fear waiting break outbr br now thats oneofakind adapted stageplay terry johnson who would also script screenplay film insignificance odd quirky seductive downright curious fictional popculture gimmick hands director nicolas roeg inspired cerebral experimental effort might rooted stageplay origins feel theatrical action occurs hotel backdrop one main suite cramp look enhanced moody smoky atmosphere new york great effect however limitations cant contain fruitful daring ideas roeg manages randomly storm visually meaningful material way reflects characters who suggestively famous figures without need naming them philosophical journeys interpretations notions stimulating spiritual sense memories gelling present visions showing fears realisations depending seeing either beautiful hauntingly implemented theres plenty food thought hints within verbosely innovative if sometimes awkward script main focus concerning present situation flashbacks gives us personal makeup sex power enlightenment glory makes much burden already demanding lives sure story might lead anything end feel disjointed dreamy vibe intelligent arrangement irons folds makes sure never turns giddy peter hannans sensually fluid photography stanley myers titillatingly oozing blues soundtrack fit snugly roegs stylistically subdue established style directing makes look like hes working something big largescale otherwise thats case small little universe created vintage costumes locations period come fittingly enough made film impressive acting boasted main four theresa russells perky drop dead gorgeous appeal sexy pinup actress growing portrayal definitely held film together along genuinely excellent endearing performance michael emil professor tony curtis marvellously plays witchhunting senator gary busey suitably good stoically gravel manner ballplayer showing minor amusing support roles happen sampson patrick kilpatrickbr br a memorably striking fresh tour de force meditation piece metaphysics linked together four different extremes might find pretentiously estrange talky one wrapped little unique world worry much shortcomings
negative,know whether laugh cry misrepresentation canadian history particularly disservice done history mounted police yukonbr br ill leave pierre berton noted historian born raised dawson city yukon author definitive history klondike gold rush klondike last great gold rush express exasperation silly movie br br the american idea untamed frontier subdued individual heroes armed sixguns continued far country another story cowboy american west wyoming time driving herd beef cattle gold country picture nightmare geographical impossibilities real incongruity major assumption plot turns one mounted policeman canadian yukon time gold rush could deal lawlessness james stewart walter brennan reach yukon border cattle customs shack emptybr br where constable asks brennanbr br up pelly river trouble chilkats someone replies hes got real tough job constable patrols ten twenty thousand square miles sometimes get home two three months time br br the historical truth yukon territory gold rush closest thing police state british north america ever seen northwest mounted police stationed territory considerable numbers long klondike strike controlled every route yukon brooked nonsense collected customs duties often wails new arrivals made arbitrary laws spot river navigation turned men back enough supplies simply looked bad true canadian fashion laid moral laws community dawson lords day act strictly observed crime punishable fine cut wood sunday plump young women arrested sternfaced police called giving risqu performance theatre generally nothing dancing suggestively stage overly revealing tightsbr br in community gunbelt unthinkable one notorious bad man tombstone tried pack weapon hip personally disarmed young constable ejected saloon heinous crime talking loudly bad man left like lamb protested policeman upon discovering carrying gun told hand over no man yet taken gun away me said american well im taking it constable said mildly so without resistance many revolvers confiscated dawson auctioned police little dollar purchased souvenirs keep mantelpiecebr br in big year stampede serious crime let alone murder dawson contrast skagway american side lawless town run soapy smith denver confidence man remarkable far country dawson seen community without law soapy smith character skagway called gannon picture easily control in real life one smiths men tried cross border equipment confiscated frogmarched right back mounted police sergeantbr br in movie lone mountie says yes im law represent law yukon territory fifty thousand square miles itbr br then youbr br because yesterday wilderness expect pour thousands here well protect youbr br whenbr br therell post established dawson early maybr br what happens may going keep orderbr br part timebr br what rest timebr br pick good man swear in act marshal br br the movie mountie leaves appear picture astonishing suggestion american town marshal complete tin star sworn group townspeople living british jurisprudence accepted naturally want make jimmy stewart marshal clearly fits part stewart playing role loner looks number one another man elected get shot does others get shot even walter brennan gets shot stewart finally comes reluctant conclusion must end shooting shooting own pins tin star bully gannon blast away inevitable western climaxbr br to anybody passing knowledge canadian north bald retelling story passes rational belief br br excerpt hollywoods canada pierre berton
positive,anyone wondering one makes movies like used to conversation character simple theme friendship struggling evolve something new better different folks need take film see top notch writing directing acting melds wonderful evening observation things used italy england days times funneled terrific comedy entertainment made alfred molina joan plowright polly walker josie lawrence jim broadbent miranda richardson michael kitchens major roles brush stroke direction mike newell actors accomplish vividly memorable performances photographed sublimely subtle painters eye reminiscent theatrical bedroom farce turn century film might called friendship farce becomes worthwhile experience growth romantic nature within character viewer too artistic telegram importance caring around us
positive,first need say im portuguese usual spend time watching portuguese movies probably one year even nonebr br and reason almost generalized idea portuguese people national pictures awful really close worst ever made however last decade starts surprises get back funny s leo da estrela e costa castelo among worlds best time movies like pulsao zero sorte nula director fernando fragata also actors music commonbr br this one also good kind true comedy fact officially drama womans drama unexpected funny parts cause humorous characters hilarious things happen them like hypothetical travel caribbean get laid br br the plot works surprise us times actors fine locations regular score truth make sense count nice effort national cinema seems starting ashes phoenixbr br if want watch portuguese movie surely take better option stills one measured
positive,ok even cant stand liza movie truly hilarious scenes john gielgud make liza one true romantic comedy classics th century dudley moore makes drunk irresponsible look cute amusing damn fun watch oneliners best
positive,loved flash gordon child watching series dvd brings back fond memories minute episode features adventures hero flash lovely dale arden intrepid dr zarkov planet mongo flash escaping death every turn shark men nearly drown him faces fire monster tunnel terror hes mortal peril static room br br the characters still fun buster crabbe every bit blonde dreamboat hero jean rogers delicate beautiful dale arden princess aura still plots steal flash herself king vultan hawk men still booming laugh angel wings ming merciless emperor universe still giving everyone evil eye creepsbr br this serial probably interest children today hokey effects oh spaceship fun bit nostalgia liked first time around actors play straight play kids appreciate young viewers expected read chapter synopses pretty big words thembr br im glad came dvd lot fun revisit classic scifi serial
positive,one director miike takashis best good difficult put words nearly fifteen years older target audience thrilled beginning endbr br it recalls similar childrens films s sense unlike today films afraid scare theres lot nasty detail initially found jarring soon realised nothing different grew on film compilation s kids films conventions name it there young boy hero thrust unhappydysfunctional world another inhabited mythical mystical goblins quest save worlds evil force beautiful heroine crush on sadistic henchwoman gogo yubari kill bill vol lead villain draws evil power something everyone world relate to genre conventions given fresh spin added depthbr br one imdb reviews begins where film kid sentiment agree wholeheartedly even watching lamented fact grown it part childhood like labyrinth masters universe and much lesser extent neverending story films others like goonies recalled never copied miike relentlessly offering us new take thingsbr br poor cgi staple many films sometimes due budgetary limitations frequently artistic choice desire present things outlandish way cgi mostly average solely due budgetary limitations nevertheless fantastic job putting spectacle cg effects combine traditional puppets animatronics truly extraordinary makeup create world filled rich characters and characterisation frequently borders visionarybr br this ranks one greatest childrens films ever made younger sensitive kids thoughbr br just jawdroppingly wonderful see think kids handleappreciate show them let grow great yokai war small compensation fact couldnt
positive,ive seen movie watching paltrows version ive found one good one thought would good wrong british version far better enjoyable found jeremy northam agreeable mark strong say strong catches much better austens knightley anyway versions goodbut anyone loved austens books watch movie agree caalling andrew davies changed things still remains faithful originalbr br br br my cents
negative,nice attempt something pretentious boring rise low budget trappings use virtual sets almost works points fails miserably made good use small budget guess wish story acting better lot parts see aiming would great actually hit marks dont confusing unbelievable story bad dvd transfer too take much watch movie one sitting shut off boring slow movies make appealing aspect visually storywise acting etc lacking departments never added engrossing experience maybe film makers next attempt better
positive,saw play showtime years back comfort home final note struck wanted jump sofa give production standing ovation was shed tear bunch fantastic performances songs birthday kids bought vhs version well cd play len cariou sweeny todd role br br ive shared play manysome finding subject bit sick none anything praise songsbr br ive always loved interplay songs angela lansbury george hearn well hearn edmund lyndeck judge turpinbr br i must dvd
negative,saturday raining think every movie least one comment watched the crime doctors courage way through murder mystery typical cast characters couple usual suspects possible motive crime story starts abruptly viewer thrown plot character development storytelling whatsoever guess thats surprising b movie period also moments look feel like prewwii perhaps due writers background radio showsbr br the crime doctor sleuth happens visiting california rr psychiatry practice east coast hooks mystery novelist friend implied along one previous mystery solving capers novelist occasionally fills role sidekick sleuth aka dr watson also occasionally lightens things bit comic relief sort ofbr br there also somewhat simple quite bumbling police captain times annoyed meddling sleuth mysterious braggas brother sister dance artists nightclub dance sort interpretive dance happens one moments feels like s s though story location california braggas appear live castlebr br there one plot element managed keep somewhat amused divulge always enjoy movies story discovered rather known advance even though think many many b films would rate higher difficult say watching one time well spent seen movies crime doctor series cant make comparisons
positive,often see movies undesirable things going politics still recommend city hall role born play al pacino stars new yorks mayor deal shooting boy turns nothing really effect movie characters gritty would expect anyone involved political scandal matter much trust given politician may doubts watching moviebr br i understand cant name specific example something similar movie portrays thats point idealistic impressions top movie tears ideas down certainly one encourage see also starring john cusack bridget fonda danny aiello anthony franciosa david paymer
positive,saw last week bruce campbells book tour thought amazing almost everything would expect bruce campbell scifi movie campy funny ted raimi also hilarious extremely goofy plot wacky american business man goes bulgaria killed stacy keach plays mad scientist savesbrings bruce campbell back life implanting half brain exkgb turned cabbie bruce campbell spends rest film trying avenge death many internal arguments kgb agent movie great bruce campbell slap stick humor movie somewhat predictable knew wife killed would sharing brain killer however go see movie thought would oscar winning script went see bruce campbell scifi movie disappointed least highly recommend go see book tour wait watch scifi channel next month although movie said scifi channel cut movie make tv friendly fan bruce highly recommend it
negative,ill honest reason watched one tv imdb bottom right now im wondering hour half life really worth another check listbr br van damme luc deveraux finds huge fight universal soldiers main computer pulled hal defend itself yes obligate explosions shootouts chases last one standing combined terrible acting bit boring setup makes sure place infamous list justbr br only idiots like want watch full list
positive,one eastwoods best movies separated westerns good whenever chance see clints earlier work would sit front set watch whatever on
negative,wow went video store tonight mood bad b horror movie found gem looked cover thought looked like movie mood brought home put onbr br this movie b horror movie mind much worse wanted bad movie got know crap like existed amongst man movie seemed like year old wrote directed nice itbr br i aspiring director movie made mad someone actually paying guy direct movies needs work garbage dump shoveling crap belongsbr br if thinking renting buying it tell thing would tell someone getting ready commit suicide dont it worth it really nothing nice say movie it
positive,two main characters erkan stefan munich comedy act wondering one typical slapstick movies story either important simply existing saw movie happy cool story main characters really fit itbr br all amusing common german movie
